route,page_name,route_type,source_file,page_purpose,primary_heading,main_audience,parent_section,in_primary_nav,in_footer,auth_required,incoming_links,outgoing_links,content_status,current_copy_summary,content_themes,possible_old_site_match,issues_or_notes
"/","Home","Public page","src/app/page.tsx","Primary marketing front door and quote-intake path.","Custom Homes Built With Precision in Northern Colorado","Prospective homeowners and commercial clients","Home","Logo only","No","No","Header logo from shared public pages; auth and portal home links; direct URL","Page anchors #contact and #projects; /services/custom-elevators; /why-kiefer-built; /api/quote-request through form","Complete; owner verification needed","Hero promises builder-led custom homes, renovations, and commercial work; proof points claim 25+ years and 200+ completed homes/projects; sections cover trust, real project work, elevators, building performance, process, commercial work, service area, and quote intake.","Core company messaging; craftsmanship; communication; custom homes; remodeling; commercial; long-term value; calls to action","Homepage","25+/200+/since-1999 claims need owner evidence; global JSON-LD process and service-area copy differ from visible copy."
"/about","About / Our Story","Public page","src/app/about/page.tsx","Explain the family-run company, values, and operating style.","Relentless Pursuit of Perfection","Prospective clients","About","Yes","No","No","Header About menu; /why-kiefer-built/quality","/about/team; /#contact; global header destinations","Complete; owner verification needed","Family-builder narrative centered on Mark, Mindy, and Miles; clear expectations, modern project visibility, and traditional accountability.","Core company messaging; family ownership; trust; communication; craftsmanship","About Us / Company Story","Leadership history and family-role statements should be reconciled with owner-approved legacy copy."
"/about/accolades","Accolades","Public page","src/app/about/accolades/page.tsx","Present awards and performance recognition.","Awards, Press, and Performance Recognition","Prospective clients seeking credibility","About","Yes","No","No","Header About menu","/#contact; global header destinations","Partial; claims need verification","Cards claim a 2025 SIPA Building Excellence Award, Best of Houzz Service recognition, and performance-focused building.","Trust and credibility; awards; energy efficiency; service","Awards / Press","No citations or outbound proof links accompany award claims; dates, categories, and current award status require owner/source verification."
"/about/team","Team","Public page","src/app/about/team/page.tsx","Introduce company leadership and responsibilities.","The Kiefer Built Team","Prospective clients and recruits","About","Yes","No","No","Header About menu; /about; /why-kiefer-built/quality","/#contact; global header destinations","Complete; owner verification needed","Profiles Mark Kiefer as Owner, Mindy as CFO, Miles as Estimator & Project Manager, and Marlys as COO; stresses direct accountability.","Core company messaging; family team; accountability; communication","Team / Leadership","Names, titles, and role descriptions should be checked against the older approved site and current organization."
"/admin","Command Center","Admin page","src/app/admin/page.tsx","Operations dashboard for projects, leads, tasks, files, time, and portfolio totals.","Command Center","Kiefer Built managers and admins","Admin / Reports","Yes in admin navigation","No","Yes in production; bypassed in demo mode","/login; AdminShell logo; Summary, Command Center, Client Updates navigation aliases","/admin/projects; /admin/time; project update/comment/file/change-order/task forms; /admin/schedule; /admin/leads; /admin/tasks","Functional with demo fallback","Dense operational dashboard with selected-job activity, sales follow-up, tasks, project totals, and quick actions.","Administrative content; operations; CRM; project management","None - operations-only","Admin search and notification controls have no implemented behavior; demo data can appear when demo mode is enabled."
"/admin/bills","Bills","Admin page","src/app/admin/bills/page.tsx","List vendor bills and connect them to jobs.","Bills","Admins and finance staff","Admin / Financial","Yes","No","Yes in production; bypassed in demo mode","Admin Financial navigation; /admin/reports","/admin/projects; /admin/projects/[projectId]","Functional with demo fallback","Vendor Bills register with job, vendor, status, due date, and amount context.","Administrative content; finance; purchasing","None - operations-only","No dedicated bill detail route; bill creation begins from a project detail."
"/admin/change-orders","Change Orders","Admin page","src/app/admin/change-orders/page.tsx","List scope changes and approval status.","Change Orders","Admins and project managers","Admin / Project Management","Yes","No","Yes in production; bypassed in demo mode","Admin navigation; /admin/reports; project create flow; portal approval revalidation","/admin/change-orders/[changeOrderId]","Functional with demo fallback","Change-order register focused on scope, status, client approval, schedule impact, and value.","Administrative content; scope control; approvals; finance","None - operations-only","Data is demo-backed when Supabase is unavailable or demo mode is on."
"/admin/change-orders/[changeOrderId]","Change Order Detail","Admin page; Dynamic","src/app/admin/change-orders/[changeOrderId]/page.tsx","Show one change order, line items, totals, client message, and approval state.","Dynamic change-order title","Admins and project managers","Admin / Project Management","No - reached from list/project","No","Yes in production; bypassed in demo mode","/admin/change-orders; /admin/projects/[projectId]; successful change-order creation","/admin/change-orders; /admin/change-orders/[changeOrderId]/download","Functional; 404 for unknown ID","Detailed scope and pricing record with branded PDF download.","Administrative content; scope control; approvals; PDF","None - operations-only","Dynamic ID must resolve; handler protection relies on /admin proxy when not in demo mode."
"/admin/change-orders/[changeOrderId]/download","Change Order PDF Download","Admin handler; Dynamic","src/app/admin/change-orders/[changeOrderId]/download/route.tsx","Generate a branded change-order PDF.","N/A - Route Handler","Admins and project managers","Admin / Project Management","No","No","Yes in production through proxy; bypassed in demo mode","Change-order detail download button","PDF response or 404","Functional request handler","Builds a PDF from change order, project, client, and logo data.","Administrative content; document export","None - operations-only","No explicit getCurrentAdmin check in the handler; it relies on src/proxy.ts, which intentionally skips auth in demo mode."
"/admin/comments","Comments","Admin page","src/app/admin/comments/page.tsx","Aggregate project comments across jobs.","Comments","Admins and project managers","Admin / Messaging","Yes","No","Yes in production; bypassed in demo mode","Admin Messaging navigation; project comment creation","/admin/projects; /admin/projects/[projectId]","Functional with demo fallback","Recent Comments log organized by project and author.","Administrative content; communication","None - operations-only","Creation is only exposed from project detail pages."
"/admin/daily-logs","Daily Logs","Admin page","src/app/admin/daily-logs/page.tsx","Aggregate field reports and jobsite records.","Daily Logs","Admins, field managers, and project managers","Admin / Project Management","Yes","No","Yes in production; bypassed in demo mode","Admin navigation; project field-report creation","/admin/projects; /admin/projects/[projectId]","Functional with demo fallback","Kiefer Built Jobsite Record listing weather, crew, work, deliveries, inspections, delays, and next steps.","Administrative content; field reporting","None - operations-only","Creation lives under each project."
"/admin/finance-snapshots/[snapshotId]/download","Finance Snapshot Export","Admin handler; Dynamic","src/app/admin/finance-snapshots/[snapshotId]/download/route.ts","Download one saved finance review as text.","N/A - Route Handler","Admins and finance staff","Admin / Financial","No","No","Yes; explicit admin check, with demo admin in demo mode","/admin/finance-tools","Text download; 401/404 possible","Functional request handler","Exports project finance inputs and calculated outputs for lender, owner, or accounting review.","Administrative content; finance; export","None - operations-only","Returns plain text rather than PDF/CSV; runtime result depends on stored snapshot availability."
"/admin/finance-tools","Finance Tools","Admin page","src/app/admin/finance-tools/page.tsx","Provide internal job-cost, draw, cash-flow, lending, and investment calculators.","Kiefer Built Finance Tools","Admins and finance managers","Admin / Financial","Yes","No","Yes in production; bypassed in demo mode","Admin Financial and Reports navigation","/admin/reports; /admin/projects/[projectId] through project selector/actions; /admin/finance-snapshots/[snapshotId]/download","Functional; some expansion copy","Field-tested finance checks for job cost variance, draws, retainage, cash flow, equipment financing, and rate comparison; can save review snapshots.","Administrative content; finance; calculators","None - operations-only","Contains 'Finance Toolkit Expansion' / 'Next Kiefer Built Calculator' forward-looking copy; outputs are planning tools, not accounting advice."
"/admin/invoices","Invoices","Admin page","src/app/admin/invoices/page.tsx","List invoices and offer branded PDF downloads.","Invoices","Admins and finance staff","Admin / Financial","Yes","No","Yes in production; bypassed in demo mode","Admin Financial navigation; project details","/admin/invoices/[invoiceId]/download","Functional with demo fallback","Invoice register with status, client/project relationship, totals, and PDF generation.","Administrative content; invoicing; PDF","None - operations-only","No invoice detail/create page is exposed in the route tree."
"/admin/invoices/[invoiceId]/download","Invoice PDF Download","Admin handler; Dynamic","src/app/admin/invoices/[invoiceId]/download/route.tsx","Generate a branded invoice PDF.","N/A - Route Handler","Admins and finance staff","Admin / Financial","No","No","Yes in production through proxy; bypassed in demo mode","Invoice list and project detail download buttons","PDF response or 404","Functional request handler","Builds invoice PDF from invoice, client, project, line items, and logo data.","Administrative content; invoicing; document export","None - operations-only","No explicit getCurrentAdmin check; relies on /admin proxy, which skips auth in demo mode."
"/admin/land-leads","Land Lead Finder","Admin page","src/app/admin/land-leads/page.tsx","Import county parcel CSVs, identify vacant land, score/filter prospects, update status, and export mailing data.","Land Lead Finder","Admins and sales staff","Admin / Sales Pipeline","No - direct URL only","No","Yes in production; bypassed in demo mode","Direct URL; its own clear/filter actions","/admin/land-leads/[landLeadId]; /admin/land-leads/export; self with query filters","Functional but hidden from admin navigation","County import and filtered lead table for Larimer/Weld data with scoring, owner/mail-address heuristics, statuses, and CSV export.","Administrative content; lead generation; county data","None - operations-only","Top-level route is intentionally absent from admin navigation; demo mutations/imports are not persisted; upload limit is 30 MB."
"/admin/land-leads/[landLeadId]","Land Lead Record","Admin page; Dynamic","src/app/admin/land-leads/[landLeadId]/page.tsx","Review and edit one property lead's details, status, and notes.","Dynamic owner name or Land Lead","Admins and sales staff","Admin / Sales Pipeline","No","No","Yes in production; bypassed in demo mode","/admin/land-leads","/admin/land-leads; self after updates","Functional; 404 for unknown ID","Parcel, owner, sale, acreage, scoring rationale, status, and campaign notes.","Administrative content; lead generation; CRM","None - operations-only","Only reachable after manually reaching the navigation-hidden Land Lead Finder hub."
"/admin/land-leads/export","Land Lead Mailing CSV Export","Admin handler","src/app/admin/land-leads/export/route.ts","Export current land-lead filters as a mailing-vendor CSV.","N/A - Route Handler","Admins and sales staff","Admin / Sales Pipeline","No","No","Yes in production through proxy; bypassed in demo mode","/admin/land-leads","CSV download","Functional request handler","Applies county, sale window, price, acreage, developer, mailing-address, and status filters before serialization.","Administrative content; lead generation; export","None - operations-only","No explicit getCurrentAdmin check; handler documents reliance on proxy."
"/admin/leads","Lead + Client CRM","Admin page","src/app/admin/leads/page.tsx","List sales leads and follow-up state.","Lead + Client CRM","Admins and sales staff","Admin / Sales","Yes","No","Yes in production; bypassed in demo mode","Admin Sales navigation; Command Center","/admin/leads/new; /admin/leads/[leadId]","Functional with demo fallback","Lead pipeline with project type, budget, status, follow-up, and contact data.","Administrative content; CRM; sales","None - operations-only","Multiple navigation labels point to this same page, including activities and calendar."
"/admin/leads/[leadId]","Lead Record","Admin page; Dynamic","src/app/admin/leads/[leadId]/page.tsx","Show one lead, update follow-up/status/notes, and manage related proposals.","Dynamic lead name","Admins and sales staff","Admin / Sales","No - reached from lead lists","No","Yes in production; bypassed in demo mode","/admin/leads; Command Center; schedule events; lead creation redirect","/admin/leads; /admin/leads/[leadId]/proposals/new; /admin/proposals/[proposalId]","Functional; 404 for unknown ID","Contact, scope, budget, status, follow-up, notes, and linked proposal history.","Administrative content; CRM; proposals","None - operations-only","Demo updates are not persisted."
"/admin/leads/[leadId]/proposals/new","New Lead Proposal","Admin page; Dynamic","src/app/admin/leads/[leadId]/proposals/new/page.tsx","Create a scoped, priced proposal from a lead.","Proposal for [lead]","Admins and estimators","Admin / Sales","No","No","Yes in production; bypassed in demo mode","/admin/leads/[leadId]","/admin/leads/[leadId]; success redirects to /admin/proposals/[proposalId]","Functional form; 404 for unknown lead","Proposal basics plus base-scope, construction, allowance, and optional-upgrade line items.","Administrative content; estimating; proposals","None - operations-only","Demo creation is not persisted."
"/admin/leads/new","New Lead","Admin page","src/app/admin/leads/new/page.tsx","Create a CRM lead manually.","New Lead","Admins and sales staff","Admin / Sales","No - button from lead list","No","Yes in production; bypassed in demo mode","/admin/leads","/admin/leads; success redirects to /admin/leads/[leadId]","Functional form","Captures name, email, phone, project type, budget range, status, next follow-up, and notes.","Administrative content; CRM; sales","None - operations-only","Demo creation is not persisted."
"/admin/photos","Project Photos","Admin page","src/app/admin/photos/page.tsx","Aggregate project photography across jobs.","Project Photos","Admins and project managers","Admin / Files","Yes","No","Yes in production; bypassed in demo mode","Admin Files navigation; project photo creation","/admin/projects; /admin/projects/[projectId]","Functional with demo fallback","Photo Gallery with project/category/date and client-visibility context.","Administrative content; project media","None - operations-only","Uploads are initiated from project detail pages."
"/admin/projects","Jobs","Admin page","src/app/admin/projects/page.tsx","List active and historical projects.","Jobs","Admins and project managers","Admin / Jobs","Yes","No","Yes in production; bypassed in demo mode","Many AdminShell aliases and plus button; reports/list pages","/admin/projects/[projectId]","Functional with demo fallback","Job cards summarize name, location, type, status, phase, progress, budget, and client.","Administrative content; project management","None - operations-only","'New Job From Scratch' points to this list; no project-creation route exists."
"/admin/projects/[projectId]","Project Detail","Admin page; Dynamic","src/app/admin/projects/[projectId]/page.tsx","Central job record and launch point for all project workflows.","Dynamic project name","Admins and project managers","Admin / Jobs","No - reached from job-aware views","No","Yes in production; bypassed in demo mode","/admin/projects and most admin registers/reports/schedule; creation redirects","/portal/projects/[projectId]; financial edit; 13 project create forms; change-order detail; vendor-submittal download","Functional; 404 for unknown ID","Comprehensive job view covering client, progress, financials, invoices, change orders, photos, trade partners, submittals, warranty, field reports, selections, RFIs, purchasing, bills, comments, tasks, updates, files, timeline, and time logs.","Administrative content; project management; finance; communication; portal preview","None - operations-only","Very dense page; portal preview assumes the linked client can authenticate separately."
"/admin/projects/[projectId]/bills/new","New Project Bill","Admin page; Dynamic","src/app/admin/projects/[projectId]/bills/new/page.tsx","Create a vendor bill for one project.","Bill for [project]","Admins and finance staff","Admin / Financial","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]","/admin/projects/[projectId]; success returns to project detail","Functional form; 404 for unknown project","Bill details including vendor, reference, dates, amount, status, and notes.","Administrative content; finance; purchasing","None - operations-only","Demo creation is not persisted."
"/admin/projects/[projectId]/change-orders/new","New Change Order","Admin page; Dynamic","src/app/admin/projects/[projectId]/change-orders/new/page.tsx","Create and price a project scope change.","Change Order for [project]","Admins and project managers","Admin / Project Management","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]; Command Center quick action","/admin/projects/[projectId]; success redirects to /admin/change-orders/[changeOrderId]","Functional form; 404 for unknown project","Scope reason, client/internal notes, schedule impact, and labor/material/subcontractor/additional-scope pricing rows.","Administrative content; scope control; finance","None - operations-only","Demo creation is not persisted."
"/admin/projects/[projectId]/comments/new","New Project Comment","Admin page; Dynamic","src/app/admin/projects/[projectId]/comments/new/page.tsx","Post an internal or customer-visible project comment.","Comment for [project]","Admins and project managers","Admin / Messaging","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]; Command Center quick action","/admin/projects/[projectId] after submission","Functional form; 404 for unknown project","Project comment with author, body, and visibility controls.","Administrative content; communication","None - operations-only","Page also fetches current admin/client context; demo creation is not persisted."
"/admin/projects/[projectId]/daily-logs/new","New Field Report","Admin page; Dynamic","src/app/admin/projects/[projectId]/daily-logs/new/page.tsx","Create the official jobsite daily record.","Field Report for [project]","Admins and field managers","Admin / Project Management","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]","/admin/projects/[projectId] after submission","Functional form; 404 for unknown project","Date, weather, crew, work performed, deliveries, inspections, delays, next steps, and customer visibility.","Administrative content; field reporting","None - operations-only","Demo creation is not persisted."
"/admin/projects/[projectId]/files/new","New Project File","Admin page; Dynamic","src/app/admin/projects/[projectId]/files/new/page.tsx","Upload a project document with visibility metadata.","Upload for [project]","Admins and project managers","Admin / Files","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]; Command Center quick action","/admin/projects/[projectId] after submission","Functional form; 404 for unknown project","File upload, display name, type, size label, and internal/customer/trade visibility.","Administrative content; document management","None - operations-only","Requires configured Supabase Storage for persistence."
"/admin/projects/[projectId]/financials/edit","Project Financial Targets","Admin page; Dynamic","src/app/admin/projects/[projectId]/financials/edit/page.tsx","Set contract, budget, and margin forecast inputs for a job.","Financial Targets for [project]","Admins and finance managers","Admin / Financial","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]; /admin/reports","/admin/projects/[projectId] after submission","Functional form; 404 for unknown project","Margin Forecast Inputs used by job-cost and reporting calculations.","Administrative content; finance; forecasting","None - operations-only","Inputs are managerial planning values; demo updates are not persisted."
"/admin/projects/[projectId]/photos/new","New Project Photo","Admin page; Dynamic","src/app/admin/projects/[projectId]/photos/new/page.tsx","Upload and classify a project photo.","Photo for [project]","Admins and project managers","Admin / Files","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]","/admin/projects/[projectId] after submission","Functional form; 404 for unknown project","Image upload, title, category, date, caption, and customer visibility.","Administrative content; project media","None - operations-only","Requires configured storage; demo creation is not persisted."
"/admin/projects/[projectId]/purchase-orders/new","New Purchase Order","Admin page; Dynamic","src/app/admin/projects/[projectId]/purchase-orders/new/page.tsx","Create a project purchase order.","Purchase Order for [project]","Admins and finance/project staff","Admin / Financial","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]","/admin/projects/[projectId] after submission","Functional form; 404 for unknown project","Vendor, scope/reference, dates, amount, status, and purchasing notes.","Administrative content; purchasing; finance","None - operations-only","Demo creation is not persisted."
"/admin/projects/[projectId]/rfis/new","New RFI","Admin page; Dynamic","src/app/admin/projects/[projectId]/rfis/new/page.tsx","Create and route a project request for information.","RFI for [project]","Admins and project managers","Admin / Messaging","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]","/admin/projects/[projectId] after submission","Functional form; 404 for unknown project","RFI question, assignee, dates, response context, and customer/trade visibility.","Administrative content; coordination; communication","None - operations-only","Demo creation is not persisted."
"/admin/projects/[projectId]/selections/new","New Selection","Admin page; Dynamic","src/app/admin/projects/[projectId]/selections/new/page.tsx","Create a client selection item.","Selection for [project]","Admins and project managers","Admin / Project Management","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]","/admin/projects/[projectId] after submission","Functional form; 404 for unknown project","Category, option/vendor, allowance/price, due date, status, client notes, and visibility.","Administrative content; client decisions; approvals","None - operations-only","Submitted customer-visible items can later be approved in the client portal."
"/admin/projects/[projectId]/tasks/new","New Task","Admin page; Dynamic","src/app/admin/projects/[projectId]/tasks/new/page.tsx","Create a project task.","Task for [project]","Admins and project managers","Admin / Project Management","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]; Command Center quick action","/admin/projects/[projectId] after submission","Functional form; 404 for unknown project","Task title, assignee, due date, priority, status, and notes.","Administrative content; task management","None - operations-only","Demo creation is not persisted."
"/admin/projects/[projectId]/updates/new","New Project Update","Admin page; Dynamic","src/app/admin/projects/[projectId]/updates/new/page.tsx","Post a project progress update.","Update for [project]","Admins and project managers","Admin / Project Management","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]; Command Center quick action","/admin/projects/[projectId] after submission","Functional form; 404 for unknown project","Dated title/body progress update with internal or customer visibility.","Administrative content; client communication; progress","None - operations-only","Demo creation is not persisted."
"/admin/projects/[projectId]/vendors/new","Assign Trade Partner","Admin page; Dynamic","src/app/admin/projects/[projectId]/vendors/new/page.tsx","Assign a vendor/subcontractor to a project and define portal-visible scope.","Assign Partner to [project]","Admins and project managers","Admin / Project Management","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]","/admin/projects/[projectId]; /admin/vendors/new","Functional form; 404 for unknown project","Partner, scope, schedule window, status, and visibility; links to create a new partner.","Administrative content; vendor relationships; portal","None - operations-only","Demo creation is not persisted."
"/admin/projects/[projectId]/warranty/new","New Warranty or Punch Item","Admin page; Dynamic","src/app/admin/projects/[projectId]/warranty/new/page.tsx","Create a closeout, punch-list, or warranty item.","Closeout item for [project]","Admins and project managers","Admin / Project Management","No","No","Yes in production; bypassed in demo mode","/admin/projects/[projectId]","/admin/projects/[projectId] after submission","Functional form; 404 for unknown project","Item type, title, description, location, requester, status, dates, and customer visibility.","Administrative content; warranty; closeout","None - operations-only","Demo creation is not persisted."
"/admin/proposals","Proposals","Admin page","src/app/admin/proposals/page.tsx","List lead proposals and values/statuses.","Proposals","Admins, sales staff, and estimators","Admin / Sales and Financial","Yes","No","Yes in production; bypassed in demo mode","Admin Sales and Financial aliases; lead proposal creation","/admin/proposals/[proposalId]","Functional with demo fallback","Proposal register tied to leads, contact information, totals, status, and dates.","Administrative content; proposals; sales","None - operations-only","Bids and Lead Proposals navigation labels resolve to the same page."
"/admin/proposals/[proposalId]","Proposal Detail","Admin page; Dynamic","src/app/admin/proposals/[proposalId]/page.tsx","Show one proposal and its line-item total.","Dynamic proposal title","Admins, sales staff, and estimators","Admin / Sales","No","No","Yes in production; bypassed in demo mode","/admin/proposals; /admin/leads/[leadId]; proposal creation redirect","/admin/proposals; /admin/proposals/[proposalId]/download","Functional; 404 for unknown ID","Proposal metadata, scope/pricing rows, client/contact details, and branded PDF download.","Administrative content; proposals; PDF","None - operations-only","Dynamic ID must resolve."
"/admin/proposals/[proposalId]/download","Proposal PDF Download","Admin handler; Dynamic","src/app/admin/proposals/[proposalId]/download/route.tsx","Generate a branded proposal PDF.","N/A - Route Handler","Admins, sales staff, and estimators","Admin / Sales","No","No","Yes in production through proxy; bypassed in demo mode","Proposal detail download button","PDF response or 404","Functional request handler","Renders proposal and line items into a downloadable branded PDF.","Administrative content; proposal export","None - operations-only","No explicit getCurrentAdmin check; relies on /admin proxy, which skips auth in demo mode."
"/admin/purchase-orders","Purchase Orders","Admin page","src/app/admin/purchase-orders/page.tsx","Aggregate purchase orders across jobs.","Purchase Orders","Admins and finance/project staff","Admin / Financial","Yes","No","Yes in production; bypassed in demo mode","Admin Financial navigation; reports","/admin/projects; /admin/projects/[projectId]","Functional with demo fallback","Purchase Order Log showing vendor, project, status, dates, reference, and amount.","Administrative content; purchasing; finance","None - operations-only","Creation is only available from project detail pages."
"/admin/reports","Reports","Admin page","src/app/admin/reports/page.tsx","Roll up operational and financial portfolio metrics.","Reports","Admins and managers","Admin / Reports","Yes","No","Yes in production; bypassed in demo mode","Admin Financial and Reports navigation; finance tools","/admin; /admin/projects; /admin/change-orders; /admin/bills; /admin/vendors; /admin/projects/[projectId]; /admin/projects/[projectId]/financials/edit","Functional with demo fallback","Manager dashboard for budget, cost, revenue, margin, exposure, workflow counts, attention items, company rollup, and portal-enabled trade work.","Administrative content; reporting; finance; operations","None - operations-only","Calculations depend on complete and current operational data."
"/admin/rfis","RFIs","Admin page","src/app/admin/rfis/page.tsx","Aggregate project RFIs and response status.","RFIs","Admins and project managers","Admin / Messaging","Yes","No","Yes in production; bypassed in demo mode","Admin Messaging navigation; vendor response revalidation","/admin/projects; /admin/projects/[projectId]","Functional with demo fallback","RFI Log across projects, including assignment, due dates, status, visibility, and responses.","Administrative content; coordination; communication","None - operations-only","Creation is project-scoped; vendor responses can update this view."
"/admin/schedule","Schedule","Admin page","src/app/admin/schedule/page.tsx","Combine project, lead, and task dates into an operational agenda.","Schedule","Admins and project managers","Admin / Project Management","Yes","No","Yes in production; bypassed in demo mode","Admin navigation; Command Center","/admin/tasks; dynamic /admin/projects/[projectId] and /admin/leads/[leadId] event links","Functional with demo fallback","Past Due, Today, Next 7 Days, and Upcoming buckets plus workload summaries.","Administrative content; scheduling; tasks; CRM","None - operations-only","Schedule is derived from existing records rather than a dedicated event editor."
